# METADATA:
# 000EW: Paris 20Ãšme - Porte de Vincennes
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000EW;2026-06-14 06:50:00;16.4;1019.7;63;9.3;7.2;;0;;
000EW;2026-06-14 07:00:00;16.6;1019.6;63;9.5;7.2;;23;0;0
000EW;2026-06-14 07:10:00;16.7;1019.5;62;9.3;5.6;;11;;
000EW;2026-06-14 07:20:00;16.8;1019.6;59;8.8;7.2;;34;;
000EW;2026-06-14 07:30:00;17;1019.7;59;8.9;8.9;;0;;
000EW;2026-06-14 07:40:00;17.3;1019.6;59;9.2;7.2;;11;;
000EW;2026-06-14 07:50:00;17.4;1019.6;58;9.1;7.2;;34;;
000EW;2026-06-14 08:00:00;17.7;1019.5;57;9.1;5.6;;11;0;0
000EW;2026-06-14 08:10:00;17.9;1019.3;56;9;6.4;;23;;
000EW;2026-06-14 08:20:00;18;1019.3;57;9.3;7.2;;0;;
000EW;2026-06-14 08:30:00;18.4;1019.3;55;9.2;5.6;;0;;
000EW;2026-06-14 08:40:00;18.8;1019.3;54;9.3;2.4;;45;;
000EW;2026-06-14 08:50:00;19.1;1019.2;54;9.5;4.8;;23;;
000EW;2026-06-14 09:00:00;19.2;1019.2;54;9.6;4;;156;0;0
000EW;2026-06-14 09:10:00;19.2;1019.1;55;10;5.6;;23;;
000EW;2026-06-14 09:20:00;19.2;1019;55;9.9;4.8;;293;;
000EW;2026-06-14 09:30:00;19.6;1019.1;54;10;4;;315;;
000EW;2026-06-14 09:40:00;20.1;1019;53;10.2;5.6;;304;;
000EW;2026-06-14 09:50:00;20.1;1018.9;52;9.9;5.6;;34;;
000EW;2026-06-14 10:00:00;20.6;1018.9;51;10.1;3.2;;236;0;0
000EW;2026-06-14 10:10:00;20.3;1018.9;50;9.6;7.2;;0;;
000EW;2026-06-14 10:20:00;20.7;1018.8;50;9.9;5.6;;45;;
000EW;2026-06-14 10:30:00;20.7;1018.8;48;9.3;6.4;;23;;
000EW;2026-06-14 10:40:00;21.3;1018.8;48;9.8;4;;326;;
000EW;2026-06-14 10:50:00;21.6;1018.8;47;9.8;4;;156;;
000EW;2026-06-14 11:00:00;21.8;1018.6;47;10;4.8;;124;0;0
000EW;2026-06-14 11:10:00;22.4;1018.6;45;9.9;4;;113;;
000EW;2026-06-14 11:20:00;22;1018.4;46;9.8;7.2;;34;;
000EW;2026-06-14 11:30:00;22.1;1018.4;43;8.9;6.4;;11;;
000EW;2026-06-14 11:40:00;22.8;1018.2;43;9.5;5.6;;304;;
000EW;2026-06-14 11:50:00;23.5;1018.3;41;9.5;4.8;;248;;
000EW;2026-06-14 12:00:00;23.4;1018.2;39;8.6;3.2;;135;0;0
000EW;2026-06-14 12:10:00;23.4;1018;39;8.7;6.4;;45;;
000EW;2026-06-14 12:20:00;23.7;1017.9;38;8.5;4;;158;;
000EW;2026-06-14 12:30:00;23.6;1017.8;40;9.2;6.4;;34;;
000EW;2026-06-14 12:40:00;23.9;1017.7;39;9.1;4;;34;;
000EW;2026-06-14 12:50:00;23.3;1017.7;40;9;5.6;;23;;
000EW;2026-06-14 13:00:00;23.8;1017.5;39;9;6.4;;11;0;0
000EW;2026-06-14 13:10:00;24.5;1017.5;38;9.2;5.6;;34;;
000EW;2026-06-14 13:20:00;24.3;1017.5;38;9;6.4;;304;;
000EW;2026-06-14 13:30:00;24.8;1017.3;36;8.7;3.2;;101;;
000EW;2026-06-14 13:40:00;24.5;1017.3;36;8.4;8.9;;326;;
000EW;2026-06-14 13:50:00;24.6;1017.4;37;8.9;7.2;;34;;
000EW;2026-06-14 14:00:00;24.6;1017.1;38;9.3;5.6;;23;0;0
000EW;2026-06-14 14:10:00;25.4;1017.1;35;8.9;3.2;;11;;
000EW;2026-06-14 14:20:00;25.4;1016.9;35;8.8;4.8;;236;;
000EW;2026-06-14 14:30:00;25.6;1016.9;35;9;4;;23;;
000EW;2026-06-14 14:40:00;25.8;1016.8;35;9.2;4;;79;;
000EW;2026-06-14 14:50:00;25.6;1016.8;35;9;5.6;;56;;
000EW;2026-06-14 15:00:00;25.3;1016.7;35;8.8;7.2;;34;0;0
000EW;2026-06-14 15:10:00;25.4;1016.7;35;8.9;5.6;;34;;
000EW;2026-06-14 15:20:00;25.9;1016.8;34;8.8;6.4;;45;;
000EW;2026-06-14 15:30:00;25.7;1016.6;35;9.1;4.8;;68;;
000EW;2026-06-14 15:40:00;25.8;1016.5;36;9.6;5.6;;34;;
000EW;2026-06-14 15:50:00;26.2;1016.5;34;9.1;5.6;;326;;
000EW;2026-06-14 16:00:00;26.2;1016.5;34;9.1;5.6;;56;0;0
