# METADATA:
# 000CT: Paris 6Ãšme - Saint Germain des PrÃ©s
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000CT;2026-06-13 04:30:00;16.7;1025.2;83;13.8;8;;340;;
000CT;2026-06-13 05:00:00;16.6;1025.3;82;13.5;8;;284;0;0
000CT;2026-06-13 05:30:00;16.7;1025.3;82;13.6;8;;284;;
000CT;2026-06-13 06:00:00;17.1;1025.5;80;13.6;8;;271;0;0
000CT;2026-06-13 06:30:00;17.4;1025.5;78;13.5;8;;324;;
000CT;2026-06-13 07:00:00;17.8;1025.6;76;13.5;6.4;;309;0;0
000CT;2026-06-13 07:30:00;18.3;1025.4;72;13.1;8;;321;;
000CT;2026-06-13 08:00:00;19.4;1025.5;66;12.9;4.8;;213;0;0
000CT;2026-06-13 08:30:00;20;1025.5;65;13.2;8;;240;;
000CT;2026-06-13 09:00:00;20.3;1025.3;61;12.5;6.4;;271;0;0
000CT;2026-06-13 09:30:00;21.2;1025.1;60;13.1;6.4;;226;;
000CT;2026-06-13 10:00:00;22.2;1025;53;12.2;6.4;;26;0;0
000CT;2026-06-13 10:30:00;22.8;1024.7;50;11.9;8;;14;;
000CT;2026-06-13 11:00:00;23.4;1024.7;47;11.5;8;;317;0;0
000CT;2026-06-13 11:30:00;24.8;1024.5;46;12.4;8;;200;;
000CT;2026-06-13 12:00:00;24.7;1024;47;12.6;8;;300;0;0
000CT;2026-06-13 12:30:00;25.5;1023.7;43;12;9.7;;273;;
000CT;2026-06-13 13:00:00;26.2;1023.5;43;12.7;9.7;;267;0;0
000CT;2026-06-13 13:30:00;26.3;1023.1;44;13.1;9.7;;295;;
000CT;2026-06-13 14:00:00;26.9;1022.8;42;12.9;8;;355;0;0
000CT;2026-06-13 14:30:00;26.9;1022.4;42;12.9;11.3;;273;;
000CT;2026-06-13 15:00:00;27.6;1022.1;41;13.1;9.7;;232;0;0
000CT;2026-06-13 15:30:00;27.4;1021.8;41;13;9.7;;293;;
000CT;2026-06-13 16:00:00;27.2;1021.9;41;12.8;14.5;;300;0;0
000CT;2026-06-13 16:30:00;27.3;1021.8;41;12.9;11.3;;309;;
000CT;2026-06-13 17:00:00;27.1;1021.6;42;13;9.7;;347;0;0
000CT;2026-06-13 17:30:00;26.7;1021.7;43;13.1;12.9;;298;;
000CT;2026-06-13 18:00:00;26.2;1021.5;42;12.3;12.9;;301;0;0
000CT;2026-06-13 18:30:00;25.8;1021.5;43;12.2;11.3;;313;;
000CT;2026-06-13 19:00:00;25.1;1021.4;46;12.7;12.9;;333;0;0
000CT;2026-06-13 19:30:00;24.6;1021.4;48;12.8;9.7;;272;;
000CT;2026-06-13 20:00:00;23.8;1021.5;51;13.1;8;;350;0;0
000CT;2026-06-13 20:30:00;23.2;1021.8;52;12.8;9.7;;313;;
000CT;2026-06-13 21:00:00;22.4;1022;48;10.9;9.7;;329;0;0
000CT;2026-06-13 21:30:00;21.4;1022.1;48;10;12.9;;327;;
000CT;2026-06-13 22:00:00;20.9;1022.2;45;8.6;8;;314;0;0
000CT;2026-06-13 22:30:00;20.2;1022.3;48;8.9;9.7;;333;;
000CT;2026-06-13 23:00:00;19.4;1022.4;52;9.3;9.7;;300;0;0
000CT;2026-06-13 23:30:00;18.9;1022.4;51;8.6;11.3;;279;;
000CT;2026-06-14 00:00:00;18.4;1022.3;54;8.9;9.7;;343;0;0
000CT;2026-06-14 00:30:00;17.8;1022.4;56;8.9;8;;321;;
000CT;2026-06-14 01:00:00;17.2;1022.3;59;9.1;6.4;;309;0;0
000CT;2026-06-14 01:30:00;16.8;1022.2;61;9.3;6.4;;33;;
000CT;2026-06-14 02:00:00;16.4;1021.9;62;9.1;4.8;;304;0;0
000CT;2026-06-14 02:30:00;16.2;1021.7;63;9.2;4.8;;313;;
000CT;2026-06-14 03:00:00;15.9;1021.5;65;9.4;6.4;;280;0;0
000CT;2026-06-14 03:30:00;15.6;1021.6;67;9.5;11.3;;306;;
000CT;2026-06-14 04:00:00;15.4;1021.6;68;9.5;6.4;;311;0;0
000CT;2026-06-14 04:30:00;15;1021.7;70;9.6;8;;355;;
000CT;2026-06-14 05:00:00;14.9;1021.8;72;9.9;8;;308;0;0
000CT;2026-06-14 05:30:00;15.1;1021.7;74;10.5;6.4;;325;;
000CT;2026-06-14 06:00:00;15.3;1021.8;71;10.1;8;;338;0;0
000CT;2026-06-14 06:30:00;16.2;1021.9;66;9.8;8;;36;;
000CT;2026-06-14 07:00:00;16.7;1021.8;60;8.9;9.7;;34;0;0
000CT;2026-06-14 07:30:00;17.2;1021.9;58;8.8;8;;24;;
000CT;2026-06-14 08:00:00;17.6;1021.8;56;8.7;8;;40;0;0
000CT;2026-06-14 08:30:00;17.9;1021.7;56;9;6.4;;60;;
000CT;2026-06-14 09:00:00;18.9;1021.4;55;9.6;4.8;;349;0;0
000CT;2026-06-14 09:30:00;19.2;1021.4;54;9.7;4.8;;11;;
000CT;2026-06-14 10:00:00;19.5;1021.2;53;9.7;3.2;;30;0;0
000CT;2026-06-14 10:30:00;20.5;1021.1;50;9.7;6.4;;271;;
000CT;2026-06-14 11:00:00;21;1020.9;47;9.3;8;;338;0;0
000CT;2026-06-14 11:30:00;21.6;1020.6;44;8.8;9.7;;342;;
000CT;2026-06-14 12:00:00;22.4;1020.4;43;9.2;6.4;;30;0;0
000CT;2026-06-14 12:30:00;23.2;1020.1;41;9.2;6.4;;302;;
000CT;2026-06-14 13:00:00;23.2;1019.8;40;8.8;9.7;;336;0;0
000CT;2026-06-14 13:30:00;23.8;1019.6;38;8.7;8;;271;;
000CT;2026-06-14 14:00:00;24.2;1019.4;38;9;8;;332;0;0
000CT;2026-06-14 14:30:00;24.6;1019.1;37;8.9;11.3;;311;;
000CT;2026-06-14 15:00:00;24.6;1019;37;8.9;11.3;;350;0;0
000CT;2026-06-14 15:30:00;25.2;1018.8;35;8.7;9.7;;304;;
000CT;2026-06-14 16:00:00;25.3;1018.7;36;9.2;8;;293;0;0
000CT;2026-06-14 16:30:00;25.4;1018.6;36;9.2;11.3;;344;;
000CT;2026-06-14 17:00:00;25.4;1018.4;36;9.3;9.7;;298;0;0
000CT;2026-06-14 17:30:00;25.2;1018.1;37;9.5;9.7;;323;;
000CT;2026-06-14 18:00:00;25;1018.1;40;10.5;8;;275;0;0
000CT;2026-06-14 18:30:00;24.6;1018;42;10.8;9.7;;313;;
000CT;2026-06-14 19:00:00;24.3;1018.1;42;10.5;9.7;;344;0;0
000CT;2026-06-14 19:30:00;23.3;1018.1;46;11.1;9.7;;342;;
000CT;2026-06-14 20:00:00;22.4;1018.4;47;10.5;8;;360;0;0
000CT;2026-06-14 20:30:00;21.6;1018.6;53;11.6;9.7;;348;;
000CT;2026-06-14 21:00:00;20.7;1018.9;54;11;8;;9;0;0
000CT;2026-06-14 21:30:00;19.8;1019.1;54;10.3;9.7;;53;;
000CT;2026-06-14 22:00:00;19.3;1019.2;55;10.1;8;;30;0;0
